id,groupid,groupname,boardid,boardname,lat,long,status,lastupdate,note,comment
156,group4,鎌倉市,9-6,由比ガ浜二丁目9番9号,35.3141735,139.5486961,1,,鎌倉体育館フェンス,
157,group4,鎌倉市,9-7,由比ガ浜四丁目9番,35.3105461,139.5418423,2,,鎌倉海浜公園フェンス,
158,group4,鎌倉市,10-1,長谷三丁目1番21号,35.3152853,139.5346819,4,,駐車場ブロック塀,
159,group4,鎌倉市,10-2,長谷二丁目22番31号,35.3100174,139.5362801,5,,8.8ハウス塀,
160,group4,鎌倉市,10-3,長谷四丁目2番27号,35.3156473,139.5355371,6,,長谷四丁目2番27号付近転落防止柵及びガードレール,
161,group4,鎌倉市,10-4,長谷五丁目311番地3,35.3195375,139.5388189,0,,大仏大谷戸側石垣前,
162,group4,鎌倉市,10-5,長谷二丁目115-5番先,35.3109744,139.5375459,1,,稲瀬川新宿橋付近転落防止柵,
163,group4,鎌倉市,10-6,長谷一丁目11番,35.3136903,139.5378642,2,,長谷つくし公園フェンス,
164,group4,鎌倉市,10-7,長谷二丁目7番12号,35.3108079,139.5392579,1,,筒井宅塀,
165,group4,鎌倉市,11-1,極楽寺二丁目10番,35.3119414,139.5281587,2,,稲村ヶ崎小学校体育館前フェンス,
166,group4,鎌倉市,11-2,坂ノ下18付近,35.3097087,139.5326135,4,,極楽寺切通付近法下,
167,group4,鎌倉市,11-3,坂ノ下31番5号,35.3066073,139.5322382,5,,きしろホームフェンス,
168,group4,鎌倉市,11-4,極楽寺三丁目7番,35.3097494,139.529578,6,,極楽寺駅駐輪所脇歩道フェンス,
169,group4,鎌倉市,11-5,極楽寺二丁目10番,35.3119414,139.5281587,0,,稲村ヶ崎小学校正門向側フェンス,
170,group4,鎌倉市,11-6,極楽寺三丁目7番,35.3097494,139.529578,1,,江ノ電所有地塀,
171,group4,鎌倉市,11-7,極楽寺三丁目11番,35.3072843,139.5271246,2,,江ノ電フェンス,
172,group4,鎌倉市,12-1,稲村ガ崎四丁目7番,35.3072879,139.5219543,4,,稲村ガ崎2号緑地,
173,group4,鎌倉市,12-2,稲村ガ崎三丁目13番53号,35.3042394,139.5186412,5,,鎌倉静養館塀,
174,group4,鎌倉市,12-3,稲村ガ崎二丁目8番1号,35.3042928,139.5222141,6,,江ノ電稲村ヶ崎駅,
175,group4,鎌倉市,12-4,稲村ガ崎二丁目6番,35.3035102,139.5220339,0,,稲村ガ崎二丁目共同墓地塀,
176,group4,鎌倉市,12-5,稲村ガ崎五丁目16番6号,35.3089977,139.5213588,1,,吉村宅石垣,
177,group4,鎌倉市,12-6,稲村ガ崎五丁目39番,35.3128956,139.523386,2,,正福寺公園フェンス,
178,group4,鎌倉市,12-7,稲村ガ崎ー丁目15番32号,35.3062973,139.5216362,1,,極楽寺ポンプ場フェンス,
179,group4,鎌倉市,13-1,七里ガ浜東二丁目35番,35.3094689,139.5141601,2,,七里ガ浜東二丁目公園石垣   ，,
